ID;StationStart;Line;TimeStart;StationEnd;TimeEnd;global_id;
Локальный идентификатор;Станция отправления;Направление Аэроэкспресс;Время отправления со станции;Конечная станция направления Аэроэкспресс;Время прибытия на конечную станцию направления Аэроэкспресс;global_id;
1;Киевский вокзал;Во Внуково;00:01;Аэропорт Внуково;00:34;2449491972;
147;Аэропорт Домодедово;В Домодедово;00:01;Павелецкий вокзал;00:47;2449495012;
184;Аэропорт Домодедово;В Домодедово;00:01;Верхние Котлы;00:40;2449495053;
372;Белорусский вокзал;В Шереметьево;00:06;Аэропорт Шереметьево;01:00;2449492725;
19;Аминьевская;Во Внуково;00:11;Аэропорт Внуково;00:34;2449494955;
448;Савёловская;В Шереметьево;00:12;Аэропорт Шереметьево;01:00;2625375231;
334;Аэропорт Шереметьево;В Шереметьево;00:14;Белорусский вокзал;01:07;2449492650;
258;Аэропорт Шереметьево;В Шереметьево;00:14;Савёловская;01:01;2449495143;
410;Окружная;В Шереметьево;00:27;Аэропорт Шереметьево;01:00;2449495249;
73;Павелецкий вокзал;В Домодедово;05:30;Аэропорт Домодедово;06:17;2449492134;
335;Белорусский вокзал;В Шереметьево;05:36;Аэропорт Шереметьево;06:48;2449492652;
110;Верхние Котлы;В Домодедово;05:38;Аэропорт Домодедово;06:17;2449492188;
411;Савёловская;В Шереметьево;05:42;Аэропорт Шереметьево;06:48;2449495251;
259;Аэропорт Шереметьево;В Шереметьево;05:44;Окружная;06:16;2449495145;
297;Аэропорт Шереметьево;В Шереметьево;05:44;Белорусский вокзал;06:37;2449495191;
221;Аэропорт Шереметьево;В Шереметьево;05:44;Савёловская;06:31;2449499506;
373;Окружная;В Шереметьево;05:57;Аэропорт Шереметьево;06:48;2449492728;
74;Павелецкий вокзал;В Домодедово;06:00;Аэропорт Домодедово;06:47;2449492102;
148;Аэропорт Домодедово;В Домодедово;06:00;Павелецкий вокзал;06:45;2449495013;
185;Аэропорт Домодедово;В Домодедово;06:00;Верхние Котлы;06:38;2449495054;
336;Белорусский вокзал;В Шереметьево;06:06;Аэропорт Шереметьево;07:18;2449492653;
111;Верхние Котлы;В Домодедово;06:08;Аэропорт Домодедово;06:47;2449492202;
412;Савёловская;В Шереметьево;06:12;Аэропорт Шереметьево;07:18;2449495252;
260;Аэропорт Шереметьево;В Шереметьево;06:13;Окружная;06:46;2449495146;
298;Аэропорт Шереметьево;В Шереметьево;06:13;Белорусский вокзал;07:07;2449495192;
222;Аэропорт Шереметьево;В Шереметьево;06:13;Савёловская;07:01;2449499601;
37;Аэропорт Внуково;Во Внуково;06:15;Киевский вокзал;06:48;2449494973;
55;Аэропорт Внуково;Во Внуково;06:15;Аминьевская;06:36;2449494991;
374;Окружная;В Шереметьево;06:27;Аэропорт Шереметьево;07:18;2449492729;
75;Павелецкий вокзал;В Домодедово;06:30;Аэропорт Домодедово;07:18;2449492104;
149;Аэропорт Домодедово;В Домодедово;06:30;Павелецкий вокзал;07:15;2449495014;
186;Аэропорт Домодедово;В Домодедово;06:30;Верхние Котлы;07:08;2449495057;
337;Белорусский вокзал;В Шереметьево;06:36;Аэропорт Шереметьево;07:48;2449492656;
112;Верхние Котлы;В Домодедово;06:38;Аэропорт Домодедово;07:18;2449492192;
413;Савёловская;В Шереметьево;06:42;Аэропорт Шереметьево;07:48;2449495253;
261;Аэропорт Шереметьево;В Шереметьево;06:44;Окружная;07:16;2449495147;
299;Аэропорт Шереметьево;В Шереметьево;06:44;Белорусский вокзал;07:37;2449495193;
223;Аэропорт Шереметьево;В Шереметьево;06:44;Савёловская;07:31;2449499683;
262;Аэропорт Шереметьево;В Шереметьево;06:55;Окружная;07:46;2449495148;
300;Аэропорт Шереметьево;В Шереметьево;06:55;Белорусский вокзал;08:07;2449495194;
224;Аэропорт Шереметьево;В Шереметьево;06:55;Савёловская;08:01;2449499769;
375;Окружная;В Шереметьево;06:57;Аэропорт Шереметьево;07:48;2449492730;
2;Киевский вокзал;Во Внуково;07:00;Аэропорт Внуково;07:33;2449492014;
76;Павелецкий вокзал;В Домодедово;07:00;Аэропорт Домодедово;07:47;2449492139;
150;Аэропорт Домодедово;В Домодедово;07:00;Павелецкий вокзал;07:48;2449495015;
187;Аэропорт Домодедово;В Домодедово;07:00;Верхние Котлы;07:40;2449495058;
338;Белорусский вокзал;В Шереметьево;07:06;Аэропорт Шереметьево;08:18;2449492658;
113;Верхние Котлы;В Домодедово;07:08;Аэропорт Домодедово;07:47;2449492194;
20;Аминьевская;Во Внуково;07:10;Аэропорт Внуково;07:33;2449494956;
414;Савёловская;В Шереметьево;07:12;Аэропорт Шереметьево;08:18;2449495255;
38;Аэропорт Внуково;Во Внуково;07:15;Киевский вокзал;07:48;2449494974;
56;Аэропорт Внуково;Во Внуково;07:15;Аминьевская;07:36;2449494992;
263;Аэропорт Шереметьево;В Шереметьево;07:25;Окружная;08:16;2449495149;
301;Аэропорт Шереметьево;В Шереметьево;07:25;Белорусский вокзал;08:37;2449495195;
225;Аэропорт Шереметьево;В Шереметьево;07:25;Савёловская;08:31;2449499866;
376;Окружная;В Шереметьево;07:27;Аэропорт Шереметьево;08:18;2449492733;
77;Павелецкий вокзал;В Домодедово;07:30;Аэропорт Домодедово;08:17;2449492141;
151;Аэропорт Домодедово;В Домодедово;07:30;Павелецкий вокзал;08:16;2449495017;
188;Аэропорт Домодедово;В Домодедово;07:30;Верхние Котлы;08:09;2449495060;
339;Белорусский вокзал;В Шереметьево;07:36;Аэропорт Шереметьево;08:48;2449492660;
114;Верхние Котлы;В Домодедово;07:38;Аэропорт Домодедово;08:17;2449492197;
415;Савёловская;В Шереметьево;07:42;Аэропорт Шереметьево;08:48;2449495256;
264;Аэропорт Шереметьево;В Шереметьево;07:55;Окружная;08:46;2449495150;
302;Аэропорт Шереметьево;В Шереметьево;07:55;Белорусский вокзал;09:07;2449495196;
226;Аэропорт Шереметьево;В Шереметьево;07:55;Савёловская;09:01;2449499967;
