ID;StationStart;Line;TimeStart;StationEnd;TimeEnd;global_id;
Локальный идентификатор;Станция отправления;Направление Аэроэкспресс;Время отправления со станции;Конечная станция направления Аэроэкспресс;Время прибытия на конечную станцию направления Аэроэкспресс;global_id;
1;Киевский вокзал;Во Внуково;00:01;Аэропорт Внуково;00:34;2449491972;
3;Киевский вокзал;Во Внуково;08:00;Аэропорт Внуково;08:33;2449491974;
4;Киевский вокзал;Во Внуково;09:00;Аэропорт Внуково;09:33;2449491975;
5;Киевский вокзал;Во Внуково;10:00;Аэропорт Внуково;10:33;2449491976;
6;Киевский вокзал;Во Внуково;11:00;Аэропорт Внуково;11:33;2449491977;
7;Киевский вокзал;Во Внуково;12:00;Аэропорт Внуково;12:33;2449491978;
2;Киевский вокзал;Во Внуково;07:00;Аэропорт Внуково;07:33;2449492014;
8;Киевский вокзал;Во Внуково;13:00;Аэропорт Внуково;13:33;2449492023;
11;Киевский вокзал;Во Внуково;16:00;Аэропорт Внуково;16:33;2449494947;
12;Киевский вокзал;Во Внуково;17:00;Аэропорт Внуково;17:33;2449494948;
13;Киевский вокзал;Во Внуково;18:00;Аэропорт Внуково;18:33;2449494949;
14;Киевский вокзал;Во Внуково;19:00;Аэропорт Внуково;19:33;2449494950;
15;Киевский вокзал;Во Внуково;20:00;Аэропорт Внуково;20:33;2449494951;
16;Киевский вокзал;Во Внуково;21:00;Аэропорт Внуково;21:33;2449494952;
17;Киевский вокзал;Во Внуково;22:00;Аэропорт Внуково;22:33;2449494953;
18;Киевский вокзал;Во Внуково;23:00;Аэропорт Внуково;23:33;2449494954;
9;Киевский вокзал;Во Внуково;14:00;Аэропорт Внуково;14:33;2449497906;
10;Киевский вокзал;Во Внуково;15:00;Аэропорт Внуково;15:33;2449498910;
